Ward Code,Plymouth Wards (2015),"Life expectancy at birth for females, 2010-2014 (years)",LCL - Lower confidence limit,UCL - Upper confidence limit
E05002096,Budshead,78.8,77.5,80.1
E05002094,Compton,79,77.3,80.7
E05002080,Devonport,79.3,77.9,80.6
E05002081,Drake,79.4,76.7,82.1
E05002085,Efford and Lipson,81,79.7,82.3
E05002093,Eggbuckland,81.5,80,83
E05002082,Ham,81.6,80.1,83.1
E05002097,Honicknowle,81.7,80.1,83.4
E05002084,Moor View,82,80.4,83.5
E05002095,Peverell,82.2,80.9,83.5
E05002078,Plympton Chaddlewood,82.6,81.2,84
E05002090,Plympton Erle,83.1,81.8,84.5
E05002089,Plympton St Mary,83.2,81.7,84.7
E05002079,Plymstock Dunstone,83.5,82.4,84.6
E05002086,Plymstock Radford,83.6,82,85.1
E05002091,Southway,84.2,82.9,85.5
E05002087,St Budeaux,84.3,83.1,85.5
E05002083,St Peter and the Waterfront,85,83.5,86.5
E05002092,Stoke,85.4,84.2,86.6
E05002088,Sutton and Mount Gould,87.1,84.6,89.5
