Placestoppedstreet,Placestoppedtown,EstimatedAge,Monthyear,GRIDREFERENCE,GRIDREF1,GRIDREF2
,,17,Apr-19,244974; 060033,244974,60033
,,16,May-19,248200; 060630,248200,60630
,,14,Sep-19,246933; 056200,246933,56200
,,35,Aug-19,248182; 054717,248182,54717
,,25,May-19,246332; 059320,246332,59320
Treveneague Gardens,Plymouth,15,May-19,,,
Benbow Street,Plymouth,39,May-19,,,
Norwich Avenue,Plymouth,34,Jun-19,,,
,,29,Jul-19,247472; 059659,247472,59659
,,34,Aug-19,246384; 056845,246384,56845
Devonport Road,Plymouth,28,Aug-19,,,
BICKHAM ROAD,PLYMOUTH,16,Sep-19,,,
,,21,May-19,249234; 054546,249234,54546
,,28,Jul-19,250403; 056583,250403,56583
,,33,Aug-19,246280; 053738,246280,53738
,,27,Aug-19,247745; 054407,247745,54407
Efford Lane,PLYMOUTH,20,Aug-19,,,
,,40,Mar-19,248535; 058899,248535,58899
Charfield Drive,Plymouth,38,Jun-19,,,
A386 Tavistock Road,Plymouth,51,Jun-19,,,
A386 Tavistock Road,Plymouth,33,Jun-19,,,
,,30,Jun-19,245253; 059927,245253,59927
,,21,Jul-19,250491; 061438,250491,61438
Brent Knowle Road,Plymouth,41,Aug-19,,,
Honicknowle Lane,Plymouth,32,Sep-19,,,
,,34,Aug-19,248168; 054742,248168,54742
,,43,Jul-19,248530; 058894,248530,58894
,,49,Jul-19,248561; 058909,248561,58909
Morlaix Drive,Plymouth,32,Aug-19,,,
,,45,Apr-19,248421; 056093,248421,56093
,,24,Jul-19,254038; 056589,254038,56589
,,27,Jul-19,254038; 056587,254038,56587
Hampton Street,Plymouth,25,May-19,,,
,,20,Sep-19,247412; 053914,247412,53914
Pier Street,Plymouth,16,Aug-19,,,
,,49,May-19,245899; 059467,245899,59467
Cremyll Street,Plymouth,37,May-19,,,
,,57,Mar-19,254025; 056595,254025,56595
,,28,Apr-19,251464; 056160,251464,56160
,,48,Apr-19,254031; 056594,254031,56594
,,25,May-19,250700; 053882,250700,53882
,,30,Jun-19,254038; 056591,254038,56591
,,13,Mar-19,247745; 054051,247745,54051
,,36,May-19,254032; 056583,254032,56583
,,43,May-19,254058; 056579,254058,56579
Chestnut Way,Honiton,35,Jun-19,,,
,,59,Aug-19,246908; 056238,246908,56238
,,37,Aug-19,166525; 041362,166525,41362
Alexandra Road,Plymouth,40,Sep-19,,,
,,33,Apr-19,252008; 056788,252008,56788
Hill Park Crescent,Plymouth,30,May-19,,,
Gwyn Road,Plymouth,37,May-19,,,
,,16,Aug-19,247202; 055584,247202,55584
Duke Street,Plymouth,28,May-19,,,
Duke Street,Plymouth,27,May-19,,,
,,31,May-19,000001; 000001,1,1
,,35,Apr-19,247717; 054831,247717,54831
,,50,Apr-19,246760; 054343,246760,54343
,,30,Apr-19,248287; 054637,248287,54637
,,13,May-19,247711; 054608,247711,54608
,,43,Jun-19,248137; 054987,248137,54987
Glanville Street,Plymouth,14,Jun-19,,,
Cumberland Street,Plymouth,30,Sep-19,,,
,,-1,Sep-19,250265; 057300,250265,57300
Granby Way,Plymouth,27,Mar-19,,,
,,15,Apr-19,250614; 056569,250614,56569
,,16,Apr-19,247607; 054658,247607,54658
,,14,May-19,247329; 059982,247329,59982
,,21,Jun-19,249865; 057729,249865,57729
,,21,Jun-19,245160; 056657,245160,56657
,,25,Jun-19,246990; 055054,246990,55054
